state,node,zone,is_root,is_target,is_critical,BN,MOD_node_out_degree,on_shortest_attack_path,cvss_max,theta_bn,theta_mod,struct_pass_raw
STRUCTURE_MITIGATED,8,FIN,True,True,True,0.000000,1.000000,True,9.800000,0.000000,1.450772,True
STRUCTURE_MITIGATED,9,HR,True,False,False,0.000000,0.000000,False,8.800000,0.000000,1.450772,True
STRUCTURE_MITIGATED,10,HR,False,False,False,0.000000,1.000000,False,0.000000,0.000000,1.450772,True
STRUCTURE_MITIGATED,11,HR,False,False,False,0.000000,1.000000,False,0.000000,0.000000,1.450772,True
STRUCTURE_MITIGATED,12,HR,False,False,False,0.000000,1.000000,False,0.000000,0.000000,1.450772,True
STRUCTURE_MITIGATED,13,HR,False,False,False,0.000000,0.000000,False,0.000000,0.000000,1.450772,True
STRUCTURE_MITIGATED,14,IT,False,False,False,0.000000,1.000000,False,7.800000,0.000000,1.450772,True
STRUCTURE_MITIGATED,15,IT,False,False,False,0.000000,0.000000,False,0.000000,0.000000,1.450772,True
STRUCTURE_MITIGATED,16,IT,False,False,False,0.000000,0.000000,False,0.000000,0.000000,1.450772,True
STRUCTURE_MITIGATED,17,IT,False,False,False,0.000000,0.000000,False,0.000000,0.000000,1.450772,True
STRUCTURE_MITIGATED,18,IT,False,False,False,0.000000,1.000000,False,0.000000,0.000000,1.450772,True
