state,node,zone,I_identity,B_behavior,C_context,T_trust_0_4I_0_3B_0_3C,theta_path,trust_pass,BN,MOD,theta_bn,theta_mod,struct_pass_raw,struct_exempt_core_or_endpoint,struct_pass_after_exemption,composite_node_mask
DELAY_SPIKE,1,Core,1.000000,0.950000,1.000000,0.985000,0.900000,True,0.000000,1.000000,0.000000,1.450772,True,True,True,True
DELAY_SPIKE,2,Core,1.000000,0.950000,1.000000,0.985000,0.900000,True,0.000000,1.000000,0.000000,1.450772,True,True,True,True
DELAY_SPIKE,3,Core,1.000000,0.950000,1.000000,0.985000,0.900000,True,0.000000,1.000000,0.000000,1.450772,True,True,True,True
DELAY_SPIKE,4,Core,1.000000,0.950000,1.000000,0.985000,0.900000,True,0.000000,0.000000,0.000000,1.450772,True,True,True,True
DELAY_SPIKE,5,DMZ,1.000000,0.950000,1.000000,0.985000,0.900000,True,0.000000,0.000000,0.000000,1.450772,True,False,True,True
DELAY_SPIKE,6,DMZ,1.000000,0.950000,1.000000,0.985000,0.900000,True,0.000000,1.000000,0.000000,1.450772,True,False,True,True
DELAY_SPIKE,7,FIN,1.000000,0.950000,1.000000,0.985000,0.900000,True,0.000000,1.000000,0.000000,1.450772,True,True,True,True
DELAY_SPIKE,8,FIN,1.000000,0.950000,1.000000,0.985000,0.900000,True,0.000000,1.000000,0.000000,1.450772,True,False,True,True
DELAY_SPIKE,9,HR,1.000000,0.950000,1.000000,0.985000,0.900000,True,0.000000,0.000000,0.000000,1.450772,True,False,True,True
DELAY_SPIKE,10,HR,1.000000,0.950000,1.000000,0.985000,0.900000,True,0.000000,1.000000,0.000000,1.450772,True,False,True,True
DELAY_SPIKE,11,HR,1.000000,0.950000,1.000000,0.985000,0.900000,True,0.000000,1.000000,0.000000,1.450772,True,False,True,True
DELAY_SPIKE,12,HR,1.000000,0.950000,1.000000,0.985000,0.900000,True,0.000000,1.000000,0.000000,1.450772,True,False,True,True
DELAY_SPIKE,13,HR,1.000000,0.950000,1.000000,0.985000,0.900000,True,0.000000,0.000000,0.000000,1.450772,True,False,True,True
DELAY_SPIKE,14,IT,1.000000,0.950000,1.000000,0.985000,0.900000,True,0.000000,1.000000,0.000000,1.450772,True,True,True,True
DELAY_SPIKE,15,IT,1.000000,0.950000,1.000000,0.985000,0.900000,True,0.000000,0.000000,0.000000,1.450772,True,False,True,True
